"syn23516886","NF0007-2","NF0007-2_quant.sf","None"
"syn23516887","NF0007-2 D","NF0007-2 D_quant.sf","DMEM"
"syn23516888","NF0007-2 M","NF0007-2 M_quant.sf","Mammo"
"syn23516889","NF0007-2 S","NF0007-2 S _quant.sf","StemPro"
"syn23516890","NF0007-2-D+C","NF0007-2- D+C_quant.sf","Cytokines,DMEM"
"syn23516891","NF0007-2-D+C+F","NF0007-2- D+C+F_quant.sf","Cytokines,DMEM,Forskoline"
"syn23516892","NF0007-2-S+C","NF0007-2- S+C_quant.sf","Cytokines,StemPro"
"syn23516893","NF0007-2-S+C+F","NF0007-2- S+C+F_quant.sf","Cytokines,Forskoline,StemPro"
"syn23516894","NF0007-2-M+C","NF0007-2-M+C_quant.sf","Cytokines,Mammo"
"syn23516895","NF0007-2-M+C+F","NF0007-2-M+C+F_quant.sf","Cytokines,Forskoline,Mammo"
"syn23520409","NF0007-4","NF0007-4_quant.sf","None"
"syn23520410","NF0007-4 D","NF0007-4- D_quant.sf","DMEM"
"syn23520411","NF0007-4-D+C","NF0007-4- D+C_quant.sf","Cytokines,DMEM"
"syn23520412","NF0007-4-D+C+F","NF0007-4- D+C+F_quant.sf","Cytokines,DMEM,Forskoline"
"syn23520413","NF0007-4-M","NF0007-4- M_quant.sf","Mammo"
"syn23520414","NF0007-4-M+C","NF0007-4- M+C_quant.sf","Cytokines,Mammo"
"syn23520415","NF0007-4-M+C+F","NF0007-4- M+C+F_quant.sf","Cytokines,Forskoline,Mammo"
"syn23520416","NF0007-4 S","NF0007-4- S _quant.sf","StemPro"
"syn23520417","NF0007-4-S+C","NF0007-4- S+C_quant.sf","Cytokines,StemPro"
"syn23520418","NF0007-4-S+C+F","NF0007-4- S+C+F_quant.sf","Cytokines,Forskoline,StemPro"
